source,target,value,time
Swiss-Brazilian,GENEBRA,1,2025
Swiss-Brazilian,DAVOS,1,2025
Swiss-Brazilian,HUNENBERG,1,2025
Swiss-Brazilian,ZURIQUE,1,2025
Swiss-Brazilian,MEILEN,1,2025
Swiss-Brazilian,LUGANO,1,2025
Swiss-Brazilian,ZUG,1,2025
Swiss-Brazilian,REINACH,1,2025
Swiss-Brazilian,ST. GALLEN,1,2025
Swiss-Brazilian,BERNA,1,2025
Swiss-Brazilian,STANS,1,2025
Swiss-Brazilian,AARBURG,1,2025
Swiss-Brazilian,BASEL,1,2025
Swiss-Brazilian,BAAR,1,2025
Swiss-Brazilian,GENEVE,1,2025
Swiss-Brazilian,SUHR,1,2025
Swiss-Brazilian,ZURICH,1,2025
Swiss-Brazilian,SCHAFFHAUSEN,1,2025
Swiss-Brazilian,PULLY,1,2025
Swiss-Brazilian,WIL,1,2025
Swiss-Brazilian,ROTKREUZ,1,2025
Swiss-Brazilian,KRIENS,1,2025
Swiss-Brazilian,LE GRAND-SACONNEX,1,2025
Swiss-Brazilian,BASILEIA,1,2025
Swiss-Brazilian,NEUHAUSEN AM RHEINFALL,1,2025
Swiss-Brazilian,PFAFFIKON,1,2025
Swiss-Brazilian,LACHEN,1,2025
Swiss-Brazilian,HIRSCHTHAL,1,2025
Swiss-Brazilian,MORGES,1,2025
Swiss-Brazilian,TEUFEN AR,1,2025
Swiss-Brazilian,SIRNACH,1,2025
Swiss-Brazilian,MARLY,1,2025
Swiss-Brazilian,ORSIERES,1,2025
Swiss-Brazilian,DIETLIKON,1,2025
Swiss-Brazilian,115130936,1,2025
Swiss-Brazilian,STEINHAUSEN,1,2025
Swiss-Brazilian,VERSOIX,1,2025
Swiss-Brazilian,ESTAVAYER,1,2025
Swiss-Brazilian,MUTTENZ,1,2025
Swiss-Brazilian,NEUCHATEL,1,2025
Swiss-Brazilian,CHIASSO,1,2025
Swiss-Brazilian,CHENE-BOURG,1,2025
Swiss-Brazilian,DURRENASCH,1,2025
Swiss-Brazilian,ALPNACH,1,2025
Swiss-Brazilian,KUSSNACHT AM RIGI,1,2025
Swiss-Brazilian,ROLLE,1,2025
Swiss-Brazilian,HORW,1,2025
